name,latitude,longitude
Admiralty Primary School,1.454038375,103.8174362
Ahmad Ibrahim Primary School,1.433152715,103.8329424
Ai Tong School,1.360583434,103.8330203
Alexandra Primary School,1.291334392,103.8244247
Anchor Green Primary School,1.390369987,103.8871654
Anderson Primary School,1.384264294,103.8413921
Anglo-Chinese School (Junior),1.309350413,103.8409503
Anglo-Chinese School (Primary),1.318370545,103.8356097
Angsana Primary School,1.348552876,103.9518081
Ang Mo Kio Primary School,1.365587821,103.8509571
Beacon Primary School,1.383949362,103.773632
Bedok Green Primary School,1.323445933,103.937879
Bendemeer Primary School,1.321812508,103.8654042
Blangah Rise Primary School,1.276120479,103.8086285
Boon Lay Garden Primary School,1.343178538,103.7132809
Bukit Panjang Primary School,1.373621793,103.7693749
Bukit Timah Primary School,1.337299558,103.7668287
Bukit View Primary School,1.345860548,103.7536664
Canberra Primary School,1.451250244,103.8158589
Canossa Catholic Primary School,1.326644245,103.882228
Cantonment Primary School,1.275472526,103.8399626
Casuarina Primary School,1.372460639,103.9570203
Catholic High School (Primary),1.354388784,103.8442107
Cedar Primary School,1.335588501,103.875621
Changkat Primary School,1.34023164,103.9520801
CHIJ (Katong) Primary,1.306485353,103.9111056
CHIJ (Kellock),1.275022723,103.8281576
CHIJ Our Lady of Good Counsel,1.357429523,103.8640094
CHIJ Our Lady of the Nativity,1.373574097,103.897769
CHIJ Our Lady Queen of Peace,1.366603669,103.7674122
CHIJ Primary (Toa Payoh),1.332752647,103.8418473
CHIJ St. Nicholas Girls' School (Primary Section),1.3739790471108462,103.83424002714133
Chongfu School,1.438395629,103.8393092
Chongzheng Primary School,1.350707392,103.9513995
Chua Chu Kang Primary School,1.377758901,103.7418329
Clementi Primary School,1.315063218,103.7631445
Compassvale Primary School,1.38376923,103.8913547
Concord Primary School,1.380008062,103.7362254
Coral Primary School,1.3679782603996944,103.95108733878556
Corporation Primary School,1.338203977,103.7180895
Da Qiao Primary School,1.3719330834184313,103.85870045452789
Damai Primary School,1.335461068,103.9212702
Dazhong Primary School,1.359179745,103.7484721
De La Salle School,1.39470783,103.7432018
East Coast Primary School,1.3293035651237786,103.92011952529232
East Spring Primary School,1.352684007,103.9616768
East View Primary School,1.3468719784605487,103.93949008027487
Edgefield Primary School,1.400091395,103.9078476
Elias Park Primary School,1.374512694,103.9451281
Endeavour Primary School,1.454038375,103.8174362
Evergreen Primary School,1.444153328,103.7945778
Fairfield Methodist School (Primary),1.301004419,103.7854556
Farrer Park Primary School,1.312368677,103.8507664
Fengshan Primary School,1.329805988,103.9317103
Fernvale Primary School,1.39030228,103.8744455
First Toa Payoh Primary School,1.340322995,103.8555299
Frontier Primary School,1.336412987,103.6997017
Fuchun Primary School,1.430479908,103.7781929
Fuhua Primary School,1.336503948,103.7361037
Gan Eng Seng Primary School,1.285595165,103.8155474
Geylang Methodist School (Primary),1.317591268,103.8838457
Gongshang Primary School,1.357116068,103.9491448
Greendale Primary School,1.396481951,103.9123346
Greenridge Primary School,1.385889219,103.7677945
Greenwood Primary School,1.439899583,103.8047256
Haig Girls' School,1.311943443,103.9029026
Holy Innocents' Primary School,1.366938309,103.8941149
Henry Park Primary School,1.316676462,103.7842962
Hong Wen School,1.32176,103.8576285
Horizon Primary School,1.399550034,103.9134049
Hougang Primary School,1.377382452,103.8808053
Huamin Primary School,1.426972845,103.8442402
Innova Primary School,1.428967007,103.7906075
Jiemin Primary School,1.427688477,103.8304255
Jing Shan Primary School,1.3722940213388664,103.85182008481267
Junyuan Primary School,1.347870748,103.9392217
Jurong Primary School,1.347184566,103.7005342
Jurong West Primary School,1.344879056,103.6992864
Juying Primary School,1.3383597691045763,103.68820622529225
Keming Primary School,1.3455285,103.7564494
Kheng Cheng School,1.337338194,103.8471485
Kong Hwa School,1.31099674,103.888352
Kranji Primary School,1.393560505,103.7473627
Kuo Chuan Presbyterian Primary School,1.349398137,103.8550182
Lakeside Primary School,1.338203977,103.7180895
Lianhua Primary School,1.354241911,103.7541658
Maha Bodhi School,1.328470867,103.9012987
Maris Stella High School (Primary Section),1.3426492209742367,103.87855708296343
Marsiling Primary School,1.43383904,103.773643
Marymount Convent School,1.34036677,103.8400211
Mayflower Primary School,1.376146217,103.8358052
Mee Toh School,1.394618454,103.9085895
Meridian Primary School,1.375528317,103.9348891
Methodist Girls' School (Primary),1.349472763,103.8849713
Montfort Junior School,1.373824441,103.8893078
Nan Chiau Primary School,1.392211499,103.8911809
Nan Hua Primary School,1.3192016,103.7610951
Nanyang Primary School,1.320847499,103.8077502
Ngee Ann Primary School,1.305525059,103.917463
Naval Base Primary School,1.416306632,103.8387941
New Town Primary School,1.299641882,103.8001022
Northland Primary School,1.420969899,103.8409284
Northoaks Primary School,1.45660782,103.814197
North Spring Primary School,1.387061465,103.9032027
North View Primary School,1.427523272,103.8481908
North Vista Primary School,1.38282243,103.8959619
Oasis Primary School,1.404624132,103.9111206
Opera Estate Primary School,1.319319144,103.9237883
Palm View Primary School,1.38376923,103.8913547
Park View Primary School,1.377380699,103.9395417
Pasir Ris Primary School,1.365557147,103.9609189
Paya Lebar Methodist Girls' School (Primary),1.349472763,103.8849713
Pei Chun Public School,1.337373587,103.8555856
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064
Pei Tong Primary School,1.316197864,103.7675998
Peiying Primary School,1.417233397,103.8304171
Pioneer Primary School,1.339022647,103.6877696
Poi Ching School,1.357651223,103.9352465
Princess Elizabeth Primary School,1.349203513,103.7410196
Punggol Cove Primary School,1.411599233,103.8988039
Punggol Green Primary School,1.401872206,103.8988013
Punggol Primary School,1.405145826,103.9051564
Punggol View Primary School,1.405145826,103.9051564
Qifa Primary School,1.313265833,103.7566291
Qihua Primary School,1.442035966,103.7883398
Queenstown Primary School,1.29559365,103.8075486
Radin Mas Primary School,1.274958236,103.8241883
Raffles Girls' Primary School,1.32940426,103.8064429
Red Swastika School,1.334056596,103.9343175
Riverside Primary School,1.447004265,103.801889
River Valley Primary School,1.294223285,103.8358152
Rivervale Primary School,1.387061465,103.9032027
Rosyth School,1.372890675,103.8750015
Rulang Primary School,1.346738689,103.718458
Sengkang Green Primary School,1.392846067,103.8752177
Sembawang Primary School,1.445073716,103.8210424
Si Ling Primary School,1.432409357,103.7860351
Seng Kang Primary School,1.389497404,103.8997671
Shuqun Primary School,1.347653114,103.7215237
Singapore Chinese Girls' School (Primary),1.320807252,103.8277447
South View Primary School,1.381666644,103.7462758
Springdale Primary School,1.394670103,103.8899262
St. Andrew's Junior School,1.3310582489272231,103.8653423326439
St. Anthony's Canossian Primary School,1.3347619912564452,103.94170501179906
St. Anthony's Primary School,1.3641134306232963,103.74898047124886
St. Gabriel's Primary School,1.3495881517194346,103.86265110348643
St. Hilda's Primary School,1.349609217621692,103.93610449645676
St. Joseph's Institution Junior,1.3173185946693773,103.84552301179906
St. Margaret's Primary School,1.3250009428605187,103.88167509645677
St. Stephen's School,1.3187756686992027,103.91755776762106
Tampines North Primary School,1.360476415,103.9487258
Tampines Primary School,1.350707392,103.9513995
Tanjong Katong Primary School,1.305240843,103.9000927
Tao Nan School,1.294332105,103.8490262
Teck Ghee Primary School,1.365587821,103.8509571
Teck Whye Primary School,1.383649968,103.7532919
Telok Kurau Primary School,1.331045854,103.910934
Temasek Primary School,1.317706776,103.9455907
Townsville Primary School,1.360032637,103.853826
Unity Primary School,1.402854819,103.7468226
Valour Primary School,1.406835702,103.8990781
Waterway Primary School,1.398828006,103.9186216
Wellington Primary School,1.451920192,103.8223037
West Grove Primary School,1.344879056,103.6992864
West Spring Primary School,1.389441459,103.7661957
Westwood Primary School,1.347184566,103.7005342
West View Primary School,1.38367582,103.7602404
White Sands Primary School,1.365557147,103.9609189
Woodgrove Primary School,1.432736207,103.7902303
Woodlands Primary School,1.432736207,103.7902303
Woodlands Ring Primary School,1.434952293,103.7974357
Xinghua Primary School,1.357908936,103.8904729
Xingnan Primary School,1.342547449,103.6879503
Xinmin Primary School,1.371395489,103.8830808
Xishan Primary School,1.433471869,103.8377553
Yangzheng Primary School,1.348645758,103.8685955
Yew Tee Primary School,1.396766009,103.750986
Yio Chu Kang Primary School,1.377932643,103.8856437
Yishun Primary School,1.427688477,103.8304255
Yu Neng Primary School,1.333889303,103.9321449
Yuhua Primary School,1.342802305,103.7411058
Yumin Primary School,1.351291777,103.9504619
Zhangde Primary School,1.284211533,103.8259519
Zhenghua Primary School,1.379548875,103.7693135
Zhonghua Primary School,1.360203297,103.8697624
