Rank,School Name
1,Nanyang Primary School
2,Catholic High School (Primary)
3,Tao Nan School
4,Nan Hua Primary School
5,St. Hilda's Primary School
6,Henry Park Primary School
7,Anglo-Chinese School (Junior)
8,Raffles Girls' Primary School
9,Pei Hwa Presbyterian Primary School
10,CHIJ St. Nicholas Girls' School (Primary Section)
11,Pei Chun Public School
12,Kong Hwa School
13,Poi Ching School
14,Holy Innocents' Primary School
15,Ai Tong School
16,Anglo-Chinese School (Primary)
17,Red Swastika School
18,Maris Stella High School (Primary Section)
19,Rulang Primary School
20,Singapore Chinese Girls' School (Primary)
21,Methodist Girls' School (Primary)
22,Rosyth School
23,Hong Wen School
24,Maha Bodhi School
25,Fairfield Methodist School (Primary)
26,Paya Lebar Methodist Girls' School (Primary)
27,Radin Mas Primary School
28,South View Primary School
29,Chongfu School
30,St. Margaret's Primary School
31,Chongzheng Primary School
32,Punggol Primary School
33,Qifa Primary School
34,Admiralty Primary School
35,Yangzheng Primary School
36,Mayflower Primary School
37,Woodlands Primary School
38,Rivervale Primary School
39,Bukit Panjang Primary School
40,Gongshang Primary School
41,Wellington Primary School
42,Innova Primary School
43,Princess Elizabeth Primary School
44,Mee Toh School
45,CHIJ Primary (Toa Payoh)
46,Kheng Cheng School
47,Haig Girls' School
48,Kuo Chuan Presbyterian Primary School
49,Hougang Primary School
50,Temasek Primary School
51,Anderson Primary School
52,St. Joseph's Institution Junior
53,Shuqun Primary School
54,Fengshan Primary School
55,CHIJ Our Lady of the Nativity
56,Xishan Primary School
57,Chua Chu Kang Primary School
58,Xinmin Primary School
59,River Valley Primary School
60,Telok Kurau Primary School
61,Yu Neng Primary School
62,Nan Chiau Primary School
63,Frontier Primary School
64,Compassvale Primary School
65,Woodgrove Primary School
66,Xingnan Primary School
67,Lakeside Primary School
68,Elias Park Primary School
69,Ngee Ann Primary School
70,Zhenghua Primary School
71,St. Andrew's Junior School
72,North View Primary School
73,Westwood Primary School
74,East Spring Primary School
75,White Sands Primary School
76,St. Anthony's Primary School
77,Zhangde Primary School
78,Sengkang Green Primary School
79,Geylang Methodist School (Primary)
80,Yew Tee Primary School
81,St. Anthony's Canossian Primary School
82,Woodlands Ring Primary School
83,Sembawang Primary School
84,CHIJ Our Lady of Good Counsel
85,Seng Kang Primary School
86,Fernvale Primary School
87,Pasir Ris Primary School
88,Qihua Primary School
89,Yumin Primary School
90,Concord Primary School
91,Evergreen Primary School
92,Tanjong Katong Primary School
93,Corporation Primary School
94,Yio Chu Kang Primary School
95,Xinghua Primary School
96,Cedar Primary School
97,De La Salle School
98,Endeavour Primary School
99,Keming Primary School
100,Bendemeer Primary School
101,CHIJ (Kellock)
102,First Toa Payoh Primary School
103,Junyuan Primary School
104,Jurong West Primary School
105,Boon Lay Garden Primary School
106,West View Primary School
107,Zhonghua Primary School
108,Greenwood Primary School
109,Tampines Primary School
110,Peiying Primary School
111,West Grove Primary School
112,Jing Shan Primary School
113,Horizon Primary School
114,Edgefield Primary School
115,Kranji Primary School
116,North Vista Primary School
117,Pioneer Primary School
118,New Town Primary School
119,Gan Eng Seng Primary School
120,Marymount Convent School
121,CHIJ (Katong) Primary
122,Marsiling Primary School
123,Damai Primary School
124,Yishun Primary School
125,Greendale Primary School
126,Dazhong Primary School
127,Fuhua Primary School
128,Northland Primary School
129,CHIJ Our Lady Queen of Peace
130,Casuarina Primary School
131,Bedok Green Primary School
132,North Spring Primary School
133,Yuhua Primary School
134,Tampines North Primary School
135,Canberra Primary School
136,Bukit View Primary School
137,Teck Ghee Primary School
138,Jurong Primary School
139,Montfort Junior School
140,Park View Primary School
141,Beacon Primary School
142,Riverside Primary School
143,Pei Tong Primary School
144,Naval Base Primary School
145,Alexandra Primary School
146,Opera Estate Primary School
147,Canossa Catholic Primary School
148,Punggol View Primary School
149,Huamin Primary School
150,Ahmad Ibrahim Primary School
151,St. Stephen's School
152,Punggol Green Primary School
153,Anchor Green Primary School
154,Ang Mo Kio Primary School
155,Queenstown Primary School
156,Meridian Primary School
157,Greenridge Primary School
158,Clementi Primary School
159,Springdale Primary School
160,West Spring Primary School
161,Lianhua Primary School
162,Juying Primary School
163,Fuchun Primary School
164,Jiemin Primary School
165,Blangah Rise Primary School
166,Teck Whye Primary School
167,Bukit Timah Primary School
168,Angsana Primary School
169,Unity Primary School
170,Townsville Primary School
171,Farrer Park Primary School
172,Palm View Primary School
173,Waterway Primary School
174,Changkat Primary School
175,Oasis Primary School
176,St. Gabriel's Primary School
177,Si Ling Primary School
178,Cantonment Primary School
179,Punggol Cove Primary School
180,Valour Primary School
181,Northoaks Primary School
182,Coral Primary School
183,Da Qiao Primary School
184,East Coast Primary School
185,East View Primary School
